week,country_name,city_name,orders,billings,subtotal,delivery_fees,service_fees,other_fees,promotions
2019-04-08,Middle-earth,Khazad-dum,11356,31925881.26000003,25359890.01000001,6566059.5,0.0,0.0,-84206.84999999998
2019-04-08,Middle-earth,Lake Town,4975,13584196.080000002,10676336.580000002,2907859.5,0.0,0.0,-32790.03
2019-04-08,Middle-earth,Pelargir,1587,4533814.739999998,3544735.7399999993,989079.0,0.0,0.0,-4419.869999999999
2019-04-08,Middle-earth,Goblin Town,4759,13368782.699999984,10663079.699999996,2705703.0,0.0,0.0,-26475.54
2019-04-08,Middle-earth,Archet,2854,8239746.060000001,6612529.5600000005,1627216.5,0.0,0.0,-18452.07
2019-04-08,Middle-earth,Minas Morgul,5367,16285454.640000002,13178441.64,3107013.0,0.0,0.0,-26216.190000000006
2019-04-08,Middle-earth,Rivendell,6336,18029452.35,14399098.350000003,3630490.5,0.0,0.0,-45268.86
2019-04-08,Middle-earth,other,4782,12622515.360000005,9952029.359999998,2670486.0,0.0,0.0,-18119.010000000002
2019-04-08,Middle-earth,Osgiliath,367117,1103221252.7699995,912931653.2700001,190273219.5,0.0,0.0,-2349328.7999999984
2019-04-08,Middle-earth,Minas Tirith,15159,42898114.349999994,34602673.55999998,8295514.5,0.0,0.0,-168056.07000000004
2019-04-08,Middle-earth,Lonely Mountain,7464,20527992.03000002,16344949.530000007,4183042.5,0.0,0.0,-50835.33000000001
2019-04-08,Middle-earth,Gondolin,3409,9319608.479999995,7379670.479999999,1939938.0,0.0,0.0,-38258.219999999994
2019-04-08,Middle-earth,Dale,5232,14256032.699999992,11193655.2,3062377.5,0.0,0.0,-27723.149999999994
2019-04-08,Middle-earth,other,507,1454634.0899999996,1132630.59,322003.5,0.0,0.0,-1365.0
2019-04-08,Middle-earth,Fornost,3850,10609083.029999994,8344957.5299999975,2264125.5,0.0,0.0,-22197.629999999997
2019-04-08,Middle-earth,Edoras,6972,18439615.74000001,14412729.240000011,4026886.5,0.0,0.0,-30660.629999999997
2019-04-08,Middle-earth,Hobbiton,5940,17234181.51000001,13698441.120000003,3535759.5,0.0,0.0,-48634.95
2019-04-08,Middle-earth,other,846,2452124.2200000007,1898889.7200000007,553234.5,0.0,0.0,-11990.16
2019-04-15,Middle-earth,Khazad-dum,12177,33935218.59,26933363.730000008,7002450.0,0.0,0.0,-114209.54999999999
2019-04-15,Middle-earth,Lake Town,4956,13125318.56999999,10222100.069999993,2903218.5,0.0,0.0,-36309.0
2019-04-15,Middle-earth,Pelargir,1494,4399242.119999997,3460790.9699999993,938301.0,0.0,0.0,-26486.460000000003
2019-04-15,Middle-earth,Goblin Town,5394,14651841.750000006,11664812.250000002,2987029.5,0.0,0.0,-20944.56
2019-04-15,Middle-earth,Archet,3040,8564779.86,6932791.32,1631857.5,0.0,0.0,-16060.59
2019-04-15,Middle-earth,Minas Morgul,4372,13138316.100000003,10646099.099999996,2492217.0,0.0,0.0,-35618.31
2019-04-15,Middle-earth,Rivendell,6184,16799090.490000006,13402749.359999996,3395847.0,0.0,0.0,-36106.979999999996
2019-04-15,Middle-earth,other,4368,11827476.570000006,9302354.879999995,2524977.0,0.0,0.0,-13778.31
2019-04-15,Middle-earth,Osgiliath,357076,1117807257.8399994,924630942.6899997,193127980.5,0.0,0.0,-2244447.6599999988
2019-04-15,Middle-earth,Minas Tirith,16911,48880606.32000001,39523198.25999999,9356938.5,0.0,0.0,-196650.09000000003
2019-04-15,Middle-earth,Lonely Mountain,7866,21845203.380000032,17377599.330000002,4466280.0,0.0,0.0,-63409.71000000001
2019-04-15,Middle-earth,Gondolin,3066,8576000.16,6786310.440000001,1789242.0,0.0,0.0,-18274.62
2019-04-15,Middle-earth,Dale,5722,15489034.470000014,12247159.470000014,3241875.0,0.0,0.0,-38675.909999999996
2019-04-15,Middle-earth,other,588,1759061.8499999994,1385084.61,373600.5,0.0,0.0,-682.5
2019-04-15,Middle-earth,Fornost,4804,13212495.660000013,10393751.549999995,2818725.0,0.0,0.0,-20778.03
2019-04-15,Middle-earth,Edoras,7477,20165778.35999999,15820300.859999996,4345341.0,0.0,0.0,-49557.69
2019-04-15,Middle-earth,Hobbiton,6840,19507812.87000001,15522659.880000006,3984571.5,0.0,0.0,-40505.01
